"","colnames.nrsa_strmcat1."
"402","PctSilicicWs"
"403","PctExtruVolWs"
"404","PctColluvSedWs"
"405","PctGlacTilClayWs"
"406","PctGlacTilLoamWs"
"407","PctGlacTilCrsWs"
"408","PctGlacLakeCrsWs"
"409","PctGlacLakeFineWs"
"410","PctHydricWs"
"411","PctEolCrsWs"
"412","PctEolFineWs"
"413","PctSalLakeWs"
"414","PctAlluvCoastWs"
"415","PctCoastCrsWs"
"416","PctWaterWs"
