"","SITE_ID","VISIT_NO","MMI_BENT","OE_SCORE"
"219","KSR9-0903",1,50.28,1.155619081
"220","KSRS-1316",1,44.7,0.526229907
"221","OKS9-0932",1,41.95,0.81071008
"222","WIS9-0931",1,7.72,0.41607831
"223","WISS-1162",1,28.92,0.653994451
"224","MIS9-0930",1,4.2,0.9247094
"225","LASS-1050",1,40.58,0.742561205
"226","NDS9-0940",1,67.12,0.632541624
"227","NJS9-0908",2,16.63,0.347799868
"228","OKRM-1002",1,10.17,0.262867487
"229","AZSS-1106",1,4.87,0.354340258
"230","NES9-0932",1,52.73,1.071144526
"231","NES9-0921",1,79.28,1.304623941
"232","MTR9-0913",1,36.37,0.931213988
"233","VTS9-0910",1,63.8,1.027296723
"234","OHS9-0914",2,25.52,0.678386607
"235","MNRM-1003",1,45.7,0.843786664
"236","TXR9-0915",1,31.38,0.495423199
"237","OKRM-1008",1,7.17,0.189266378
"238","ARR9-0904",1,33.87,0.811565004
"239","CAS9-0914",1,19.07,0.230880566
"240","KSR9-0901",1,54.67,0.555998305
"241","KYS9-0919",2,14.22,0.39996233
"242","SDSS-1188",1,17.2,0.762440328
"243","WYRF-0001",1,20.53,0.731946674
"244","COS9-0923",1,68.28,1.010490444
"245","AZS9-0929",1,27.15,1.289979698
"246","NDLS-1059",1,46.08,1.026300965
"247","NJRM-1001",1,6.6,0.216215391
"248","NVRO-1027",1,65.43,1.033970392
"249","NVR9-0910",1,41.65,0.474588512
"250","GAS9-0924",1,21.32,0.61806069
"251","NES9-0927",1,72.05,0.871464802
"252","NYLS-1125",1,65.67,1.03314861
"253","COS9-0932",1,50.73,1.049221496
"254","MILS-1059",1,22.72,1.22961785
"255","SDLS-1114",1,9.7,0.843536577
"256","TXRM-1011",1,36.52,0.660483985
"257","WIS9-0923",1,25.02,0.563920581
"258","IDR9-0910",1,10.08,0.521306267
"259","IDRO-1030",1,55.77,0.745036698
"260","WAR9-0901",1,71.42,1.017953544
"261","MTS9-0923",1,72.68,1.234162104
"262","CTS9-0917",1,39.68,0.557359729
"263","DES9-0912",1,16.73,0.613031348
"264","RISS-1083",1,59.43,1.017183243
"265","VTR9-0901",2,21.85,0.681825417
"266","ARLS-1047",1,48.78,1.041241301
"267","GAS9-0917",1,21.95,0.547652452
"268","ARSS-1090",1,38.48,0.900285017
"269","ARR9-0906",1,3.67,0.628573488
"270","MDLS-1041",1,35.15,0.972751236
"271","NJSS-1081",1,27.97,0.733425815
"272","MTR9-0909",1,68.15,1.046768308
"273","MTS9-0924",1,93.33,0.840498449
"274","NJR9-0902",2,9.65,0.457850542
"275","MNRM-1012",1,35.22,0.678839557
"276","COSS-1099",1,59.9,0.784157345
"277","NHSS-1070",1,20.25,0.662615564
"278","MNR9-0901",1,37.7,0.933404391
"279","ORLS-1104",1,77.32,1.289561455
"280","ORRM-1001",1,69.97,1.194036832
"281","MDLS-1038",1,13.15,1.055553659
"282","WYS9-0928",1,49.95,0.80787421
"283","NJSS-1087",1,40.75,1.131144884
"284","LARO-1019",1,25.1,0.512525657
"285","WYRF-0004",1,57.97,1.106877124
"286","NYRO-1052",1,28.8,0.622983876
"287","NJLS-1042",1,18.92,0.470416469
"288","WYS9-0924",1,10.03,0.598615843
